right x, right y, right size, left x, left y, left size
3.163086,8.676025,34.804688,7.857910,7.700195,35.859375
3.163818,8.678467,34.808594,7.859619,7.700684,35.859375
3.156250,8.676514,34.828125,7.856201,7.698975,35.859375
3.156250,8.674561,34.820312,7.858154,7.698730,35.855469
3.156982,8.669678,34.824219,7.860107,7.698975,35.855469
3.159424,8.670166,34.816406,7.862793,7.696533,35.859375
3.154785,8.668945,34.812500,7.863037,7.695312,35.855469
3.150635,8.662842,34.820312,7.866943,7.694824,35.867188
3.149658,8.663330,34.816406,7.868164,7.692627,35.859375
3.149170,8.662598,34.812500,7.868164,7.690674,35.863281
3.154541,8.662109,34.804688,7.871338,7.690186,35.847656
3.155518,8.659424,34.816406,7.873779,7.689209,35.839844
3.157715,8.660889,34.812500,7.871094,7.688477,35.835938
3.157959,8.661133,34.812500,7.873047,7.687988,35.843750
3.160889,8.663574,34.808594,7.866455,7.686523,35.847656
3.164795,8.663818,34.804688,7.866943,7.686035,35.832031
3.166504,8.659180,34.792969,7.861328,7.684082,35.832031
3.166992,8.661133,34.800781,7.863037,7.682129,35.835938
3.167480,8.657471,34.800781,7.870605,7.684326,35.832031
3.168945,8.656738,34.804688,7.871826,7.684326,35.835938
3.166504,8.657471,34.808594,7.868408,7.683838,35.839844
3.166992,8.652588,34.796875,7.862061,7.682861,35.835938
3.169189,8.652588,34.796875,7.863037,7.684570,35.843750
3.167480,8.650391,34.796875,7.860107,7.688232,35.839844
3.167236,8.643311,34.796875,7.858398,7.689697,35.847656
3.167725,8.645996,34.800781,7.854248,7.689697,35.855469
3.165527,8.645264,34.796875,7.848145,7.689941,35.855469
3.164551,8.646973,34.796875,7.847412,7.689453,35.839844
3.161865,8.642578,34.808594,7.845459,7.690430,35.835938
3.157471,8.643799,34.804688,7.845459,7.689697,35.824219
3.156738,8.641357,34.808594,7.850098,7.689697,35.820312
3.151367,8.642334,34.804688,7.852051,7.687988,35.835938
3.142822,8.643311,34.824219,7.856689,7.689453,35.820312
3.143311,8.644531,34.820312,7.852783,7.687744,35.816406
3.142090,8.644287,34.816406,7.851807,7.686768,35.816406
3.145264,8.644287,34.812500,7.850098,7.686523,35.808594
3.146729,8.647461,34.804688,7.853271,7.687256,35.808594
